Model,Query,Title,Bill ID,Snippet,Summary,Cosine,BERTScore,,,,,
falcon,Are there any active or proposed bills for student loan forgiveness?,ASAP Forgiveness Act,id117s4342,"Affording Students A Path to Forgiveness Act or the ASAP Forgiveness Act This bill requires the Department of Education to cancel up to 30,000 of interest and principal due on any eligible Federal Direct Loan that is in repayment status for a borrower who 1 has made 60 monthly payments on the loan pursuant to any authorized repayment plan, and 2 has been employed for 10 years after graduating from or leaving the institution of higher education IHE for which the loan was made to enable the","This bill would require the Department of Education to cancel up to 30,000 of interest and principal due on any eligible Federal Direct Loan that is in repayment status for a borrower who 1 has made 60 monthly payments on the loan pursuant to any authorized repayment plan, and 2 has been employed for 10 years after graduating from or leaving the institution of higher education IHE for which the loan was made to enable the borrower to pay off the loan. --- Bill Text ---
Affording Students A Path to Forgiveness Act or the ASAP Forgiveness Act
This bill requires the Department of Education to cancel up to 30,000 of interest and principal due on any eligible Federal Direct Loan that is in repayment status for a borrower who 1 has made 60 monthly payments on the loan pursuant to any authorized repayment plan, and 2 has been employed for 10 years after graduating from or leaving the institution of higher education IHE for which the loan was made to enable the borrower to pay off the loan.",0.9462,0.9247,,,,,
falcon,Are there any active or proposed bills for student loan forgiveness?,College Affordability Act,id116hr4674,"repayment plan and one fixed repayment plan, allow existing borrowers to lower their payments by switching to the new plans, expand public service loan forgiveness programs e.g., TEACH grants, and create appeal processes for denied applications for loan forgiveness. In addition, the bill increases college access and success for certain students e.g., students with low-income, children, or disabilities through investments and practices, such as student support services and accelerated learning",This bill would provide a number of tax credits and tax deductions for individuals and businesses. It would also provide tax credits for businesses that hire veterans and for businesses that hire individuals with disabilities.,0.4539,0.8458,,,,,
qwen,What laws support veterans' benefits or healthcare?,Care Veterans Deserve Act of 2017,id115hr1152,"Care Veterans Deserve Act of 2017 This bill amends the Veterans Access, Choice, and Accountability Act of 2014 to make the Veterans Choice Program permanent. Program eligibility is expanded to include veterans with a 50 service-connected disability. The VA shall contract with a national chain of walk-in clinics to provide hospital care and medical services in such clinics to veterans who are in the annual patient enrollment system. A veteran shall not be required to: 1 obtain pre-authorization",The Care Veterans Deserve Act of 2017 makes the Veterans Choice Program permanent by expanding eligibility to veterans with a 50 service-connected disability and allowing VA to contract with national chain walk-in clinics for hospital care. Veterans will no longer need pre-authorization for care at these clinics.,0.9373,0.9228,,,,,
qwen,What laws support veterans' benefits or healthcare?,Guaranteeing Healthcare Access to Personnel Who Served Act,id117hr4624,"Guaranteeing Healthcare Access to Personnel Who Served Act This bill addresses the administration and provision of health care to veterans through the Department of Veterans Affairs VA and non-VA providers. First, the bill provides statutory authority for the eligibility thresholds for when a veteran must receive non-VA care under the Veterans Community Care Program VCCP for primary care, mental health care, noninstitutional extended care services, specialty care, or specialty services.
Guaranteeing Healthcare Access to Personnel Who Served Act This bill addresses the administration and provision of health care to veterans through the Department of Veterans Affairs VA and non-VA providers. First, the bill provides statutory authority for the eligibility thresholds for when a veteran must receive non-VA care under the Veterans Community Care Program VCCP for primary care, mental health care, noninstitutional extended care services, specialty care, or specialty services.","The bill grants statutory authority to allow veterans who meet certain criteria to receive non-VA healthcare through the Veterans Community Care Program (VCCP). It establishes eligibility thresholds for receiving non-VA care in various areas such as primary care, mental health, extended care, specialty care, and specialty services.",0.9006,0.893,,,,,
falcon,What laws support veterans' benefits or healthcare?,Care Veterans Deserve Act of 2017,id115hr1152,"Care Veterans Deserve Act of 2017 This bill amends the Veterans Access, Choice, and Accountability Act of 2014 to make the Veterans Choice Program permanent. Program eligibility is expanded to include veterans with a 50 service-connected disability. The VA shall contract with a national chain of walk-in clinics to provide hospital care and medical services in such clinics to veterans who are in the annual patient enrollment system. A veteran shall not be required to: 1 obtain pre-authorization","This bill amends the Veterans Access, Choice, and Accountability Act of 2014 to make the Veterans Choice Program permanent. Program eligibility is expanded to include veterans with a 50 service-connected disability.",0.8918,0.9294,,,,,
falcon,What laws support veterans' benefits or healthcare?,Guaranteeing Healthcare Access to Personnel Who Served Act,id117hr4624,"Guaranteeing Healthcare Access to Personnel Who Served Act This bill addresses the administration and provision of health care to veterans through the Department of Veterans Affairs VA and non-VA providers. First, the bill provides statutory authority for the eligibility thresholds for when a veteran must receive non-VA care under the Veterans Community Care Program VCCP for primary care, mental health care, noninstitutional extended care services, specialty care, or specialty services.
Guaranteeing Healthcare Access to Personnel Who Served Act This bill addresses the administration and provision of health care to veterans through the Department of Veterans Affairs VA and non-VA providers. First, the bill provides statutory authority for the eligibility thresholds for when a veteran must receive non-VA care under the Veterans Community Care Program VCCP for primary care, mental health care, noninstitutional extended care services, specialty care, or specialty services.","This bill would provide statutory authority for the eligibility thresholds for when a veteran must receive non-VA care under the Veterans Community Care Program VCCP for primary care, mental health care, noninstitutional extended care services, specialty care, or specialty services. The bill would also require the Secretary of Veterans Affairs VA to establish a process for the VA to provide non-VA care to veterans who are eligible for VA care.",0.9347,0.9136,,,,,
qwen,Which bills aim to regulate or reform law enforcement practices?,Accountability for Federal Law Enforcement Act,id117s2103,"Accountability for Federal Law Enforcement Act This bill revises procedures regarding an individual's right to file civil actions for deprivation of rights under color of law. The bill 1 provides statutory authority for individuals to sue federal law enforcement officers current law restricts the ability of an individual to file a lawsuit against a federal law enforcement officer in many cases; and 2 makes federal law enforcement agencies liable for the conduct of an officer, regardless of",The Accountability for Federal Law Enforcement Act expands the ability of individuals to sue federal law enforcement officers by providing statutory authority for such lawsuits and making them liable for their own misconduct. This bill allows individuals to file civil suits against federal law enforcement officers when they believe their rights have been violated due to their actions.,0.8653,0.9116,,,,,
qwen,Which bills aim to regulate or reform law enforcement practices?,Back the Blue Act of 2017,id115hr2437,"and to broaden the authority of federal law enforcement officers to carry firearms. The bill amends the federal judicial code to limit federal court review of challenges to state court convictions for killing a public safety officer or judge. It amends the Revised Statutes of the United States to limit the recovery of compensatory damages and prohibit the recovery of attorney's fees by an individual for a violation of rights that occurs as a result of or in the course of conduct that
and to broaden the authority of federal law enforcement officers to carry firearms. The bill amends the federal judicial code to limit federal court review of challenges to state court convictions for killing a public safety officer or judge. It amends the Revised Statutes of the United States to limit the recovery of compensatory damages and prohibit the recovery of attorney's fees by an individual for a violation of rights that occurs as a result of or in the course of conduct that","This bill expands the ability of federal law enforcement officers to carry firearms, limits federal court review of certain state court convictions involving public safety officers or judges, and restricts the recovery of compensatory damages and attorney's fees related to violations of rights during such conduct.",0.8481,0.8771,,,,,
falcon,Which bills aim to regulate or reform law enforcement practices?,Accountability for Federal Law Enforcement Act,id117s2103,"Accountability for Federal Law Enforcement Act This bill revises procedures regarding an individual's right to file civil actions for deprivation of rights under color of law. The bill 1 provides statutory authority for individuals to sue federal law enforcement officers current law restricts the ability of an individual to file a lawsuit against a federal law enforcement officer in many cases; and 2 makes federal law enforcement agencies liable for the conduct of an officer, regardless of","This bill would revise procedures regarding an individual's right to file civil actions for deprivation of rights under color of law. The bill would provide statutory authority for individuals to sue federal law enforcement officers for the conduct of an officer, regardless of whether the officer is a federal officer or a state officer.",0.8156,0.9322,,,,,
falcon,Which bills aim to regulate or reform law enforcement practices?,Back the Blue Act of 2017,id115hr2437,"and to broaden the authority of federal law enforcement officers to carry firearms. The bill amends the federal judicial code to limit federal court review of challenges to state court convictions for killing a public safety officer or judge. It amends the Revised Statutes of the United States to limit the recovery of compensatory damages and prohibit the recovery of attorney's fees by an individual for a violation of rights that occurs as a result of or in the course of conduct that
and to broaden the authority of federal law enforcement officers to carry firearms. The bill amends the federal judicial code to limit federal court review of challenges to state court convictions for killing a public safety officer or judge. It amends the Revised Statutes of the United States to limit the recovery of compensatory damages and prohibit the recovery of attorney's fees by an individual for a violation of rights that occurs as a result of or in the course of conduct that","The bill amends the Revised Statutes of the United States to limit the recovery of compensatory damages and prohibit the recovery of attorney's fees by an individual for a violation of rights that occurs as a result of or in the course of conduct that
- is a violation of the Constitution or laws of the United States or of a state;
- is a violation of a federal law;
- is a violation of a state law;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is not a criminal statute;
- is a violation of a federal or state law that is",0.6611,0.831,,,,,
